Li2O,SiO2,Al2O3,ZnO,MgO,Na2O,K2O,TiO2,ZrO2,P2O5,As2O3,B2O3,BaO,CaO,SrO,SnO2,Fe2O3,MnO2,CoO,CeO2,V2O5,Sb2O3,Nd2O3,Cr2O3,MoO3,F,La2O3,Ta2O5,Cl,predicted crystals
2.8,69.8,17.8,1.0,2.6,0.4,0.2,4.7,0.1,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"β-spodumene,β-quartz s.s"
3.6,68.7,20.6,1.5,1.2,0.1,0.2,0.0,2.7,0.0,0.6,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,β-quartz s.s
3.1,69.2,19.6,1.0,1.8,0.0,0.0,2.7,1.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"β-spodumene,β-quartz s.s"
4.2,66.1,22.6,0.0,0.5,0.0,0.0,2.0,2.3,1.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,β-quartz s.s
3.5,67.2,20.0,1.5,1.1,0.2,0.2,2.6,1.7,0.0,1.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"β-spodumene,β-quartz s.s,Keatite"
4.9,67.1,20.3,0.0,0.0,0.0,0.0,0.0,5.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Petalite
3.94,67.22,21.34,1.24,0.21,0.0,0.0,2.01,1.66,0.1,0.0,0.0,2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"β-spodumene,β-quartz s.s"
4.2,66.1,23.7,0.0,0.5,0.0,0.0,2.0,2.3,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,β-quartz s.s
3.5,65.4,20.0,2.5,3.8,0.3,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"β-spodumene,β-quartz s.s"
3.95,63.68,21.82,2.08,0.42,1.45,0.0,2.18,1.25,0.1,1.02,0.0,1.97,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"β-spodumene,β-quartz s.s"
3.94,65.73,21.34,1.24,0.21,1.35,0.0,2.07,1.66,0.1,0.0,0.0,2.28,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"β-spodumene,β-quartz s.s"
3.3,65.4,23.6,2.2,1.3,0.0,0.0,2.7,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"β-spodumene,β-quartz s.s"
2.0,60.0,25.0,2.0,0.5,0.0,0.7,2.0,2.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"β-spodumene,β-quartz s.s"
3.7,55.6,25.4,1.6,1.0,0.2,0.6,2.3,1.8,7.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,β-quartz s.s
4.1,67.6,22.5,0.3,0.3,0.4,0.0,1.8,2.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,β-quartz s.s
4.3,72.0,7.0,3.0,0.0,2.6,4.0,0.0,0.0,2.1,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"LD,β-spodumene,β-quartz s.s"
21.0,64.0,2.0,0.0,0.0,0.0,2.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"LD,LM,Petalite"
16.0,57.0,4.0,0.0,0.0,0.0,3.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"LD,LM,Petalite"
15.0,84.6,4.0,4.0,0.0,0.0,2.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,Tridymite
17.0,72.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"LD,LM"
15.44,74.37,3.55,0.0,0.0,0.0,3.26,0.0,0.0,3.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"LD,LM"
15.13,72.89,3.48,0.0,0.0,0.0,3.18,0.0,2.01,3.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"LD,LM"
14.99,72.21,3.45,0.0,0.0,0.0,3.16,0.0,2.91,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"LD,LM"
14.79,71.4,3.41,0.0,0.0,0.0,3.13,0.0,4.05,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"LD,LM,Petalite"
7.89,63.33,4.59,0.0,0.0,0.0,0.0,1.93,4.56,12.11,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"LD,β-quartz s.s,Petalite"
17.49,70.35,0.0,3.07,0.0,0.0,5.34,0.0,0.0,2.68,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"LD,β-quartz s.s,LM"
15.05,73.05,3.36,0.0,0.15,0.0,3.1,0.0,3.16,1.3,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LD
14.79,70.28,4.04,0.0,0.0,0.0,3.9,0.0,4.44,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"LD,Petalite"
16.0,56.0,4.0,0.0,0.0,0.0,4.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"LD,LM,Petalite"
18.0,58.0,2.0,0.0,0.0,0.0,2.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"LD,LM,Petalite"
